Area;Age1;Age2;Age3;Age4;Age5;Age6;Age7;Age8;mu1;mu2;mu3;mu4;mu5;mu6;mu7;mu8;W1;W2;W3;W4;W5;W6;W7;W8Btotal;Bmature;Bvulnerable;Settlers.StYearMinus0
1;36,6588353733902;35,9329417964492;35,2214218753998;34,5239909927853;33,8403701669523;33,1702859404543;32,5134702706649;1609,47096371858;48,7405088676469;60,3379608553862;69,3957190180511;76,469943858133;81,995003833162;86,3101462576307;89,6803276181238;98,7960363421427;172,192606870624;172,307124626697;172,352794665925;172,374883540582;172,386948469516;172,394115263237;172,398641297032;377,961003113057;650000;644181,250619422;621125,083174087;113,979261444055
2;42,2986562000655;41,4610866882105;40,6401021639227;39,8353742224445;39,0465809618686;38,2734068543709;37,5155426199979;1857,08188121375;48,7405088676469;60,3379608553862;69,3957190180511;76,469943858133;81,995003833162;86,3101462576307;89,6803276181238;98,7960363421427;172,192606870624;172,307124626697;172,352794665925;172,374883540582;172,386948469516;172,394115263237;172,398641297032;377,961003113057;750000;743286,058407025;716682,788277793;113,979261444055
3;89,6731511441405;87,8975037790078;86,1570165875164;84,4509933515812;82,7787516391603;81,1396225312651;79,5329503543956;3937,01358817314;48,7405088676469;60,3379608553862;69,3957190180511;76,469943858133;81,995003833162;86,3101462576307;89,6803276181238;98,7960363421427;172,192606870624;172,307124626697;172,352794665925;172,374883540582;172,386948469516;172,394115263237;172,398641297032;377,961003113057;1590000;1575766,44382289;1519367,51114892;113,979261444055
4;112,796416533506;110,562897835226;108,37360577046;106,227664593185;104,124215898313;102,06241827832;100,041446986662;4952,21834990332;48,7405088676469;60,3379608553862;69,3957190180511;76,469943858133;81,995003833162;86,3101462576307;89,6803276181238;98,7960363421428;172,192606870624;172,307124626697;172,352794665925;172,374883540582;172,386948469516;172,394115263237;172,398641297032;377,961003113058;2000000;1982096,15575207;1911154,10207412;113,979261444055
