Area;Year;mu5;mu5;mu5;mu5;mu5;mu5;mu5;mu5;W5;W5;W5;W5;W5;W5;W5;W5
1;2010;48,7405088676469;60,4551068350603;69,5784449054485;76,683707738892;82,217291997506;86,5268517513061;89,8831402622587;96,6990835489522;172,192606870624;170,217637310021;170,263008561309;170,284828949486;170,296698223933;170,303726023306;170,308152354548;362,092580548355
2;2010;48,7405088676469;60,4551068350603;69,5784449054485;76,683707738892;82,217291997506;86,5268517513061;89,8831402622587;96,6996757297817;172,192606870624;170,217637310021;170,263008561309;170,284828949486;170,296698223933;170,303726023306;170,308152354548;362,097017552721
3;2010;48,7405088676469;60,4551068350603;69,5784449054485;76,683707738892;82,217291997506;86,5268517513061;89,8831402622587;96,7046447078975;172,192606870624;170,217637310021;170,263008561309;170,284828949486;170,296698223933;170,303726023306;170,308152354548;362,134248148987
4;2010;48,7405088676469;60,4551068350603;69,5784449054485;76,683707738892;82,217291997506;86,5268517513061;89,8831402622587;96,7070666008598;172,192606870624;170,217637310021;170,263008561309;170,284828949486;170,296698223933;170,303726023306;170,308152354548;362,152394422274
1;2011;48,7405088676469;60,4551068350603;69,5784449054485;76,683707738892;82,217291997506;86,5268517513061;89,8831402622587;96,7824200227033;172,192606870624;172,30789152541;172,35348542388;172,37542268816;172,387360759396;172,394432229829;172,398887772909;363,510965048686
2;2011;48,7405088676469;60,4551068350603;69,5784449054485;76,683707738892;82,217291997506;86,5268517513061;89,8831402622587;97,2064613450887;172,192606870624;172,30789152541;172,35348542388;172,37542268816;172,387360759396;172,394432229829;172,398887772909;366,141707584106
3;2011;48,7405088676469;60,4551068350603;69,5784449054485;76,683707738892;82,217291997506;86,5268517513061;89,8831402622587;97,2030715610856;172,192606870624;172,30789152541;172,35348542388;172,37542268816;172,387360759396;172,394432229829;172,398887772909;366,054385580131
4;2011;48,7405088676469;60,4551068350603;69,5784449054485;76,683707738892;82,217291997506;86,5268517513061;89,8831402622587;98,0581688052244;172,192606870624;172,30789152541;172,35348542388;172,37542268816;172,387360759396;172,394432229829;172,398887772909;372,551327207613
1;2012;48,7405088676469;60,4551068350603;69,5784449054485;76,683707738892;82,217291997506;86,5268517513061;89,8831402622587;96,8490020897561;172,192606870624;172,30789152541;172,35348542388;172,37542268816;172,387360759396;172,394432229829;172,398887772909;363,615383914795
2;2012;48,7405088676469;60,4551068350603;69,5784449054485;76,683707738892;82,217291997506;86,5268517513061;89,8831402622587;97,1829247175331;172,192606870624;172,30789152541;172,35348542388;172,37542268816;172,387360759396;172,394432229829;172,398887772909;366,06341851027
3;2012;48,7405088676469;60,4551068350603;69,5784449054485;76,683707738892;82,217291997506;86,5268517513061;89,8831402622587;97,182311673596;172,192606870624;172,30789152541;172,35348542388;172,37542268816;172,387360759396;172,394432229829;172,398887772909;366,026613628459
4;2012;48,7405088676469;60,4551068350603;69,5784449054485;76,683707738892;82,217291997506;86,5268517513061;89,8831402622587;97,8156440814815;172,192606870624;172,30789152541;172,35348542388;172,37542268816;172,387360759396;172,394432229829;172,398887772909;371,244328607002
1;2013;48,7405088676469;60,4551068350603;69,5784449054485;76,683707738892;82,217291997506;86,5268517513061;89,8831402622587;96,9154251030407;172,192606870624;172,30789152541;172,35348542388;172,37542268816;172,387360759396;172,394432229829;172,398887772909;363,888087215991
2;2013;48,7405088676469;60,4551068350603;69,5784449054485;76,683707738892;82,217291997506;86,5268517513061;89,8831402622587;97,1778072623198;172,192606870624;172,30789152541;172,35348542388;172,37542268816;172,387360759396;172,394432229829;172,398887772909;366,044354814864
3;2013;48,7405088676469;60,4551068350603;69,5784449054485;76,683707738892;82,217291997506;86,5268517513061;89,8831402622587;97,1773095934529;172,192606870624;172,30789152541;172,35348542388;172,37542268816;172,387360759396;172,394432229829;172,398887772909;366,01785928398
4;2013;48,7405088676469;60,4551068350603;69,5784449054485;76,683707738892;82,217291997506;86,5268517513061;89,8831402622587;97,6452307406345;172,192606870624;172,30789152541;172,35348542388;172,37542268816;172,387360759396;172,394432229829;172,398887772909;370,127763604476
1;2014;48,7405088676469;60,4551068350603;69,5784449054485;76,683707738892;82,217291997506;86,5268517513061;89,8831402622587;96,9797705546039;172,192606870624;172,30789152541;172,35348542388;172,37542268816;172,387360759396;172,394432229829;172,398887772909;364,246861107291
2;2014;48,7405088676469;60,4551068350603;69,5784449054485;76,683707738892;82,217291997506;86,5268517513061;89,8831402622587;97,185491643041;172,192606870624;172,30789152541;172,35348542388;172,37542268816;172,387360759396;172,394432229829;172,398887772909;366,083147026408
3;2014;48,7405088676469;60,4551068350603;69,5784449054485;76,683707738892;82,217291997506;86,5268517513061;89,8831402622587;97,1868634488452;172,192606870624;172,30789152541;172,35348542388;172,37542268816;172,387360759396;172,394432229829;172,398887772909;366,080889549353
4;2014;48,7405088676469;60,4551068350603;69,5784449054485;76,683707738892;82,217291997506;86,5268517513061;89,8831402622587;97,5293339273918;172,192606870624;172,30789152541;172,35348542388;172,37542268816;172,387360759396;172,394432229829;172,398887772909;369,238949765956
1;2015;48,7405088676469;60,4551068350603;69,5784449054485;76,683707738892;82,217291997506;86,5268517513061;89,8831402622587;97,0409470563939;172,192606870624;172,30789152541;172,35348542388;172,37542268816;172,387360759396;172,394432229829;172,398887772909;364,639886184627
