Monte;Region;Area;Year;HR;Catch;Effort;Bvulnerable;Bmature;Btotal;Larvae;Settlers;Recruits;Density;Depletion_Bvul;Depletion_Bmature
1;1;4;2037;0,502819835143687;29572,7217828716;0;58813,7533882704;63270,2400087242;64312,7769135088;5,83297402669904;5,23726902604809;5,23726902604809;5,06699730368695E-05;3,07739461325707E-02;3,19208731751551E-02
1;1;4;2038;0;0;0;58786,6913765337;65064,1786453724;64398,6205160886;5,99835979845552;3,27631108942099;3,27631108942099;5,04857181195838E-05;3,07597860961261E-02;3,28259446225933E-02
1;1;4;2039;0;0;0;58974,2945869493;64180,5656720904;64605,9590115702;5,91689825315243;3,03118089784007;3,03118089784007;5,02438291462148E-05;3,08579483585057E-02;3,23801473938777E-02
1;1;4;2040;0;0;0;60000,3936985508;65361,5581727555;65098,8673614566;6,02577564291982;4,63379427750344;4,63379427750344;5,04073832403469E-05;3,13948486066269E-02;3,29759774686387E-02
1;1;4;2041;0,474001573509874;28791,5730113865;0;60741,5135738716;66233,6706835514;65481,4264117493;6,10617694411815;3,48345141923346;3,48345141923346;5,02801130318616E-05;3,17826351668611E-02;3,34159725255208E-02
1;1;4;2042;0;0;0;61265,2654934301;65843,6347482955;66058,2850368917;6,07021897273202;3,70185377098084;3,70185377098084;5,02099635302896E-05;3,20566852390086E-02;0,033219193002931
1;1;4;2043;0;0;0;62983,156368157;66744,2103882808;67537,5482523353;6,15324433056831;8,79506228715826;8,79506228715826;5,141450521096E-05;3,29555614064838E-02;0,033673548175041
1;1;4;2044;0;0;0;63934,1521909784;66911,136098664;67812,1866553579;6,16863345083906;1,65586798618644;1,65586798618644;5,08103967930529E-05;3,34531643061084E-02;3,37577649320832E-02
1;1;4;2045;0,448684858853673;29190,3787292076;0;65057,641578958;68049,9642658198;68802,9169727884;6,27362365032268;5,952204690981;5,952204690981;5,12923346994855E-05;3,40410234362331E-02;3,43323224094542E-02
1;1;4;2046;0;0;0;66271,1262154783;68183,1858677564;69938,0856607475;6,2859055405729;7,37775135585529;7,37775135585529;5,21211162622055E-05;3,46759720440944E-02;0,034399534891326
1;1;4;2047;0;0;0;67017,040945437;69244,9991308779;70761,9056163163;6,38379562577153;6,28023012299125;6,28023012299125;5,26591065422288E-05;0,035066267483457;3,49352370872261E-02
1;1;4;2048;0;0;0;68265,5302472398;69970,9354809552;72997,4275234822;6,45072073739516;14,9823508249125;14,9823508249125;5,53619740764399E-05;3,57195320739198E-02;3,53014838749869E-02
1;1;4;2049;0,488155148673434;33388,1415247401;0;68396,5776361731;70666,1063873337;73012,1243453843;6,51480953870939;2,7600800633839;2,7600800633839;5,49557535572154E-05;3,57881018395871E-02;3,56522089921116E-02
1;1;4;2050;0;0;0;68679,8056473221;73603,0006791593;73295,9593577982;6,7855660289806;4,68233194211311;4,68233194211311;5,50381397128838E-05;3,59362992093553E-02;3,71339203022833E-02
2;1;4;2010;0,68452948654406;20752,8371621773;0;30316,9367720752;30730,2091025276;32965,4956792366;2,83306198151544;10,1480445249815;10,1480445249815;2,62547431646686E-05;0,015863156581237;1,55038942048034E-02
2;1;4;2011;0;0;0;31629,0703207121;32467,8438663562;34436,1001284002;2,99325701861194;4,52809805700275;4,52809805700275;2,68668889322684E-05;1,65497226447548E-02;1,63805594255022E-02
2;1;4;2012;0,496768614711654;15884,9481677272;0;31976,5534643277;33915,9103680378;34944,8543279597;3,12675634297165;4,56557276156246;4,56557276156246;2,74762820776801E-05;1,67315411298464E-02;1,71111327115052E-02
2;1;4;2013;0,683108581901334;21804,6207248429;0;31919,6995946866;34416,0705533634;34866,0552851848;3,17286682666494;1,14853202447025;1,14853202447025;2,72193482460617E-05;1,67017926812103E-02;1,73634717233508E-02
2;1;4;2014;0;0;0;32359,7994513631;34927,9996451175;35464,1721549986;3,22006230269446;4,98632896285002;4,98632896285002;2,79269512797768E-05;1,69320723097337E-02;1,76217483413991E-02
2;1;4;2015;0,481265826013886;15613,5844419791;0;32442,7449405655;34878,1414013341;35373,5320791087;3,21546579980519;0,973561711514473;0,973561711514473;2,76173510218182E-05;1,69754730428888E-02;1,75965940401616E-02
2;1;4;2016;0,629249528796362;20600,2776797741;0;32737,8515788142;35477,3796828845;35675,4386208221;3,27071043506506;3,17449435152822;3,17449435152822;2,78641144197152E-05;1,71298858335311E-02;0,017898919575586
2;1;4;2017;0;0;0;33015,0965975957;36677,6627128443;35937,9064898041;3,38136624635135;2,90496019322475;2,90496019322475;2,80386080353787E-05;0,017274952638181;1,85044820385758E-02
2;1;4;2018;0,525614686498796;17408,1662186191;0;33119,6343362811;36107,8779454011;36278,527303102;3,32883697273319;2,46034470833316;2,46034470833316;2,80984925747296E-05;1,73296513872625E-02;1,82170162838042E-02
2;1;4;2019;0,634304928316739;21448,8140020593;0;33814,6734236769;36582,4237455093;36670,5176106226;3,37258602957458;2,4427767947696;2,4427767947696;2,81527993423621E-05;1,76933264496981E-02;1,84564324184509E-02
2;1;4;2020;0;0;0;34650,6913875824;36458,4772246173;36943,791979961;3,3611592223274;1,51614383436624;1,51614383436624;2,79743725238461E-05;1,81307678695177E-02;1,83938993669981E-02
