"","Monte","HR.Min.","HR.1st Qu.","HR.Median","HR.Mean","HR.3rd Qu.","HR.Max.","Catch.Min.","Catch.1st Qu.","Catch.Median","Catch.Mean","Catch.3rd Qu.","Catch.Max.","Effort.Min.","Effort.1st Qu.","Effort.Median","Effort.Mean","Effort.3rd Qu.","Effort.Max.","Bvulnerable.Min.","Bvulnerable.1st Qu.","Bvulnerable.Median","Bvulnerable.Mean","Bvulnerable.3rd Qu.","Bvulnerable.Max.","Bmature.Min.","Bmature.1st Qu.","Bmature.Median","Bmature.Mean","Bmature.3rd Qu.","Bmature.Max.","Btotal.Min.","Btotal.1st Qu.","Btotal.Median","Btotal.Mean","Btotal.3rd Qu.","Btotal.Max.","Larvae.Min.","Larvae.1st Qu.","Larvae.Median","Larvae.Mean","Larvae.3rd Qu.","Larvae.Max.","Settlers.Min.","Settlers.1st Qu.","Settlers.Median","Settlers.Mean","Settlers.3rd Qu.","Settlers.Max.","Recruits.Min.","Recruits.1st Qu.","Recruits.Median","Recruits.Mean","Recruits.3rd Qu.","Recruits.Max.","Density.Min.","Density.1st Qu.","Density.Median","Density.Mean","Density.3rd Qu.","Density.Max.","Depletion_Bvul.Min.","Depletion_Bvul.1st Qu.","Depletion_Bvul.Median","Depletion_Bvul.Mean","Depletion_Bvul.3rd Qu.","Depletion_Bvul.Max.","Depletion_Bmature.Min.","Depletion_Bmature.1st Qu.","Depletion_Bmature.Median","Depletion_Bmature.Mean","Depletion_Bmature.3rd Qu.","Depletion_Bmature.Max."
"1",1,0.1146,0.1217,0.1281,0.1289,0.134,0.153,20750,255100,551100,518000,744000,986400,0,0,0,0,0,0,169100,1973000,3961000,4105000,6147000,8605000,177400,2083000,4173000,4330000,6486000,9084000,182800,2117000,4234000,4401000,6597000,9232000,16.36,192,384.7,399.2,598,837.5,14.76,183.3,347.6,390.9,593.5,830.8,14.76,183.3,347.6,390.9,593.5,830.8,0.0001399,0.000153,0.000163,0.0001711,0.0001892,0.000209,0.03547,0.03761,0.03955,0.03961,0.04159,0.04401,0.03588,0.03829,0.04018,0.04029,0.04231,0.0448
"2",2,0.2444,0.2612,0.2706,0.2783,0.2848,0.4311,50860,385400,813500,792300,1184000,1553000,0,0,0,0,0,0,118000,1396000,2843000,2981000,4487000,6355000,122800,1476000,3012000,3156000,4753000,6730000,127800,1505000,3068000,3216000,4839000,6858000,11.32,136.1,277.7,290.9,438.2,620.4,17.56,148.4,295.9,320.4,474.8,683.3,17.56,148.4,295.9,320.4,474.8,683.3,9.919e-05,0.0001113,0.0001251,0.0001286,0.0001428,0.0001645,0.02474,0.02661,0.02839,0.02852,0.03035,0.03251,0.02483,0.02713,0.02901,0.02908,0.031,0.03319
