"","Monte","Region","HR.Min.","HR.1st Qu.","HR.Median","HR.Mean","HR.3rd Qu.","HR.Max.","Catch.Min.","Catch.1st Qu.","Catch.Median","Catch.Mean","Catch.3rd Qu.","Catch.Max.","Effort.Min.","Effort.1st Qu.","Effort.Median","Effort.Mean","Effort.3rd Qu.","Effort.Max.","Bvulnerable.Min.","Bvulnerable.1st Qu.","Bvulnerable.Median","Bvulnerable.Mean","Bvulnerable.3rd Qu.","Bvulnerable.Max.","Bmature.Min.","Bmature.1st Qu.","Bmature.Median","Bmature.Mean","Bmature.3rd Qu.","Bmature.Max.","Btotal.Min.","Btotal.1st Qu.","Btotal.Median","Btotal.Mean","Btotal.3rd Qu.","Btotal.Max.","Larvae.Min.","Larvae.1st Qu.","Larvae.Median","Larvae.Mean","Larvae.3rd Qu.","Larvae.Max.","Settlers.Min.","Settlers.1st Qu.","Settlers.Median","Settlers.Mean","Settlers.3rd Qu.","Settlers.Max.","Recruits.Min.","Recruits.1st Qu.","Recruits.Median","Recruits.Mean","Recruits.3rd Qu.","Recruits.Max.","Density.Min.","Density.1st Qu.","Density.Median","Density.Mean","Density.3rd Qu.","Density.Max.","Depletion_Bvul.Min.","Depletion_Bvul.1st Qu.","Depletion_Bvul.Median","Depletion_Bvul.Mean","Depletion_Bvul.3rd Qu.","Depletion_Bvul.Max.","Depletion_Bmature.Min.","Depletion_Bmature.1st Qu.","Depletion_Bmature.Median","Depletion_Bmature.Mean","Depletion_Bmature.3rd Qu.","Depletion_Bmature.Max."
"1",1,1,0,0,0.4962,0.4649,0.5446,1.412,0,0,24570,24060,33390,76770,0,0,0,0,0,0,169100,189100,206400,209900,226900,258000,177400,199300,215500,221600,245500,276600,182800,202600,219200,225200,245600,276600,16.36,18.38,19.87,20.43,22.63,25.5,9.314,14.81,17.82,20.26,23.48,40.96,9.314,14.81,17.82,20.26,23.48,40.96,0.0002801,0.0003072,0.0003254,0.0003398,0.0003707,0.0004137,0.1767,0.1984,0.2164,0.2188,0.2355,0.2654,0.179,0.2016,0.2186,0.2226,0.245,0.2752
"2",2,1,0,0.5688,1.008,0.9928,1.392,1.875,0,21950,39620,37880,53010,74080,0,0,0,0,0,0,118000,135100,152000,155000,171900,197100,122800,140400,162300,164100,184800,211700,127800,145400,163500,167300,186300,213300,11.32,12.95,14.96,15.13,17.04,19.52,4.908,13.87,15.73,16.67,19.11,32.87,4.908,13.87,15.73,16.67,19.11,32.87,0.0001964,0.0002249,0.0002493,0.000259,0.0002901,0.0003312,0.1228,0.1413,0.1594,0.1627,0.1808,0.2084,0.1239,0.1414,0.1636,0.1664,0.188,0.2161
