"","Monte","Area","HR.Min.","HR.1st Qu.","HR.Median","HR.Mean","HR.3rd Qu.","HR.Max.","Catch.Min.","Catch.1st Qu.","Catch.Median","Catch.Mean","Catch.3rd Qu.","Catch.Max.","Effort.Min.","Effort.1st Qu.","Effort.Median","Effort.Mean","Effort.3rd Qu.","Effort.Max.","Bvulnerable.Min.","Bvulnerable.1st Qu.","Bvulnerable.Median","Bvulnerable.Mean","Bvulnerable.3rd Qu.","Bvulnerable.Max.","Bmature.Min.","Bmature.1st Qu.","Bmature.Median","Bmature.Mean","Bmature.3rd Qu.","Bmature.Max.","Btotal.Min.","Btotal.1st Qu.","Btotal.Median","Btotal.Mean","Btotal.3rd Qu.","Btotal.Max.","Larvae.Min.","Larvae.1st Qu.","Larvae.Median","Larvae.Mean","Larvae.3rd Qu.","Larvae.Max.","Settlers.Min.","Settlers.1st Qu.","Settlers.Median","Settlers.Mean","Settlers.3rd Qu.","Settlers.Max.","Recruits.Min.","Recruits.1st Qu.","Recruits.Median","Recruits.Mean","Recruits.3rd Qu.","Recruits.Max.","Density.Min.","Density.1st Qu.","Density.Median","Density.Mean","Density.3rd Qu.","Density.Max.","Depletion_Bvul.Min.","Depletion_Bvul.1st Qu.","Depletion_Bvul.Median","Depletion_Bvul.Mean","Depletion_Bvul.3rd Qu.","Depletion_Bvul.Max.","Depletion_Bmature.Min.","Depletion_Bmature.1st Qu.","Depletion_Bmature.Median","Depletion_Bmature.Mean","Depletion_Bmature.3rd Qu.","Depletion_Bmature.Max."
"1",1,4,0,0,0,0.1432,0.4545,0.5446,0,0,0,7650,20750,33390,0,0,0,0,0,0,41820,47440,53820,54510,60000,68680,44380,51330,55900,57650,65360,73600,45150,51540,57250,58670,65100,73300,4.092,4.732,5.154,5.315,6.026,6.786,1.656,3.031,4.634,5.57,7.378,14.98,1.656,3.031,4.634,5.57,7.378,14.98,3.485e-05,3.966e-05,4.288e-05,4.493e-05,5.041e-05,5.536e-05,0.02188,0.02482,0.02816,0.02852,0.03139,0.03594,0.02239,0.0259,0.0282,0.02909,0.03298,0.03713
"2",2,4,0,0,0.4786,0.3197,0.5256,0.7436,0,0,17410,12520,21450,33390,0,0,0,0,0,0,30320,34650,39680,40230,44680,49750,30730,36680,43140,42500,47940,53210,32970,36940,42980,43310,47690,53910,2.833,3.381,3.977,3.918,4.42,4.906,0.9736,2.443,3.594,4.272,4.986,12.05,0.9736,2.443,3.594,4.272,4.986,12.05,2.625e-05,2.815e-05,3.29e-05,3.314e-05,3.587e-05,4.142e-05,0.01586,0.01813,0.02076,0.02105,0.02338,0.02603,0.0155,0.0185,0.02177,0.02144,0.02419,0.02685
